Rocznik;Seria1b;Seria3b;Seria5b;Seria6b;Seria7b;X3b;X5b;X6b;Z3b;Z4b;Seria1d;Seria3d;Seria5d;Seria6d;Seria7d;X3d;X5d;X6d;Z3d;Z4d
2000;Brak;9818;10800;Brak;49900;Brak;15900;Brak;33067;Brak;28000;9713;10864;28900;16950;Brak;22000;Brak;Brak;Brak
2001;Brak;13710;11430;Brak;48850;Brak;25400;Brak;94950;Brak;Brak;10806;14220;Brak;20000;Brak;26350;Brak;11000;Brak
2002;Brak;10035;39750;Brak;28800;Brak;14000;Brak;22500;Brak;Brak;11625;12566;Brak;28500;Brak;29650;Brak;Brak;Brak
2003;Brak;14092;26380;18900;32000;36900;35900;Brak;Brak;35500;17900;13291;24500;26000;23173;Brak;31386;Brak;Brak;37900
2004;24600;13667;27400;32900;38000;28500;39050;Brak;Brak;42500;18300;16644;22088;Brak;28000;32150;33950;Brak;Brak;Brak
2005;24650;33100;33500;65000;40000;33900;40900;Brak;Brak;79999;19550;22425;26399;Brak;28000;28062;31450;Brak;Brak;Brak
2006;33083;27700;49800;64900;60600;47200;74900;Brak;Brak;39467;20950;25025;30800;Brak;52000;39033;45725;Brak;Brak;Brak
2007;15500;34300;34999;49900;55000;56900;72900;Brak;Brak;49900;30060;28191;40550;74450;65000;44900;74800;Brak;Brak;Brak
2008;20000;26740;50900;66163;92000;41000;87000;130000;Brak;46150;31163;38762;46533;105000;82950;48250;64600;109900;Brak;Brak
2009;38163;41600;48000;99000;71000;53700;87933;114000;Brak;59999;34100;36783;48266;60450;109900;55000;99500;99900;Brak;Brak
2010;41567;43600;66400;109000;136525;53900;86450;129000;Brak;76900;16433;56433;68700;Brak;75900;75000;97500;145450;Brak;Brak
2011;43000;27500;94900;199000;148000;109000;138000;144900;Brak;43800;19900;59133;80328;219900;54000;91967;155000;149000;Brak;Brak
2012;39900;53933;94450;219000;179999;87160;114475;209000;Brak;124000;19350;75000;91043;240300;189600;93860;159999;227500;Brak;Brak
2013;63900;59900;122900;269999;165900;110283;126300;197320;Brak;191950;25900;93867;129750;137500;227000;136500;166900;200000;Brak;Brak
2014;69120;116000;178000;258000;459000;100089;254250;406000;Brak;138900;69120;104250;147720;337200;289100;174924;289050;330500;Brak;Brak
2015;71500;125928;185000;356633;549000;120100;274000;455571;Brak;139000;115000;168325;166743;372023;467000;174900;257633;265450;Brak;Brak
2016;141130;138794;120000;Brak;Brak;144900;Brak;Brak;Brak;Brak;129000;177700;277171;Brak;570000;229381;271000;452200;Brak;Brak
